,open,close
484,40.145,40.115
485,40.74,40.435
486,40.025,40.21
487,40.3,39.79
488,39.63,40.305
489,40.4,40.6125
490,40.525,40.645
491,40.68,41.37
492,43.25,44.11
493,44.045,44.06
494,43.89,44.17
495,44.35,43.7825
496,44.005,44.525
497,44.29,43.765
498,43.84,43.995
499,43.99,44.245
500,44.0,44.35
501,44.355,44.82
502,44.75,44.5
503,44.255,44.41
504,44.685,45.59
505,45.58,45.395
506,45.545,45.9125
507,45.995,45.79
508,45.885,46.015
509,46.195,46.5
510,46.575,46.585
511,46.73,46.755
512,46.925,46.79
513,46.63,46.725
514,46.65,47.13
515,47.15,47.275
516,47.395,46.7425
517,46.665,47.1125
518,47.05,47.0
519,46.905,46.53
520,46.64,46.815
521,46.65,46.1075
522,46.195,46.52
523,46.08,46.09
524,46.06,45.71
525,45.985,46.69
526,46.34,46.645
527,47.0,47.0225
528,46.88,47.1925
529,47.0,47.92
530,48.38,48.88
531,49.245,48.73
532,48.94,48.685
533,48.555,48.9575
534,49.07,47.885
535,47.675,47.54
536,47.5,47.535
537,48.02,47.99
538,47.835,47.35
539,47.14,46.51
540,46.71,47.195
541,46.925,47.26
542,47.205,47.035
543,46.92,47.615
544,47.65,47.96
545,48.6,48.17
546,48.56,48.5
547,48.52,48.3
548,48.81,48.14
549,48.23,48.245
550,47.9,47.62
551,47.9,47.97
552,48.35,48.37
553,48.5,48.335
554,48.55,49.43
555,51.32,51.84
556,51.81,50.87
557,50.6,50.61
558,50.42,50.65
559,50.63,49.58
560,49.95,50.29
561,50.3,50.445
562,49.94,49.405
563,49.68,48.93
564,48.74,49.35
565,49.99,49.78
566,49.71,49.5
567,49.15,49.71
568,49.85,49.59
569,49.98,50.555
570,50.79,50.8
571,50.65,51.18
572,51.48,51.42
573,51.31,51.03
574,50.94,51.33
575,51.33,51.48
576,51.38,50.84
577,51.04,51.59
578,51.84,51.81
579,51.95,51.96
580,51.96,52.22
581,51.98,51.73
582,52.0,52.12
583,51.87,51.72
584,51.57,52.19
585,52.0,51.53
586,51.35,51.54
587,51.8,52.69
588,52.81,52.49
589,52.41,52.63
590,52.23,52.27
591,52.27,52.965
592,53.09,53.24
593,53.5,54.11
594,54.08,53.93
595,54.325,53.9
596,54.04,54.115
597,53.75,53.71
598,54.09,54.07
599,54.46,54.62
600,53.87,53.55
601,54.15,53.615
602,53.86,53.89
603,54.03,54.24
604,53.64,54.305
605,54.29,54.375
606,53.86,53.39
607,54.07,54.05
608,54.54,54.57
609,55.0,55.7
610,55.96,55.75
611,55.92,55.34
612,56.06,55.74
613,55.9,55.69
614,55.73,56.21
615,56.38,56.2
616,56.43,56.69
617,56.98,56.56
618,59.12,57.29
619,57.21,56.98
620,57.39,57.14
621,57.38,57.51
622,57.3,58.06
623,58.44,57.93
624,58.62,58.19
625,58.25,58.7
626,59.15,59.01
627,59.13,57.23
628,57.33,57.2
629,57.29,56.27
630,55.79,56.35
631,55.69,56.38
632,56.52,56.85
633,56.95,57.1
634,57.0,57.74
635,57.96,57.83
636,57.58,57.59
637,57.0,55.81
638,54.72,52.84
639,48.05,50.34
640,52.96,51.09
641,52.99,53.96
642,54.74,55.95
643,55.84,55.63
644,55.23,54.71
645,52.82,53.5
646,54.47,55.26
647,55.72,54.69
648,53.87,54.28
649,55.31,55.21
650,55.9,54.69
651,54.34,55.37
652,55.19,56.53
653,56.54,56.29
654,56.43,56.91
655,56.83,57.26
656,57.32,57.28
657,56.49,56.84
658,57.2,57.54
659,56.85,57.12
660,57.16,57.79
661,57.38,58.37
662,58.92,57.99
663,58.01,55.77
664,55.85,55.72
665,56.4,56.84
666,56.99,57.48
667,56.99,58.08
668,58.49,59.04
669,58.82,58.69
670,58.62,58.78
671,58.78,59.46
672,59.47,60.07
673,60.35,60.54
674,60.34,60.16
675,60.0,58.82
676,58.95,59.69
677,59.96,59.93
678,60.13,60.97
679,61.22,60.88
680,61.07,60.53
681,60.96,61.49
682,62.11,62.61
683,62.98,63.43
684,63.37,62.71
685,63.11,63.51
686,63.42,62.5
687,63.69,62.57
688,63.01,62.24
689,62.0,62.8
690,63.0355,61.96
691,62.17,62.28
692,62.05,61.97
693,61.75,61.34
694,61.54,62.18
695,62.55,61.87
696,61.34,61.07
697,60.89,59.74
698,59.5,60.68
